ANNEE,SESN,CD_COURS,REG_ADM,RES_ENS,CD_ORGNS_RESP,CD_ORGNS2,NO_GROUP_ELEVE,ELEVE_NOTE,MOYEN_NEB,PCT_REUST_NEB,MOYEN_NEM,PCT_REUST_NEM,MOYEN_NMB,PCT_REUST_NMB,MOYEN_NMC,PCT_REUST_NMC,MOYEN_RF,PCT_REUST_RF
2020,1,65420,16,PU,866000,866052,99,1,,,,,66,100,66,100,66,100
2020,1,65420,16,PU,866000,866052,,1,,,,,66,100,66,100,66,100
2020,1,65420,16,PU,866000,,,3,,,,,44.7,33.3,44.7,33.3,44.7,33.3
2020,1,65420,16,PU,,,,33,66.6,68,55.7,29.2,54.5,42.4,54.5,42.4,56.1,42.4
2020,1,65420,16,PR,,,,5,81,100,,,82.6,100,82.6,100,82.6,100
2020,1,65420,16,,,,,38,67.2,69.2,55.7,29.2,58.2,50,58.2,50,59.6,50
2020,1,65420,,PU,,,,162,66,71.1,65.2,66,60.3,54.9,60.3,54.9,62.1,61.7
2020,1,65420,,PR,,,,63,63.9,62.5,67.7,78.6,66.4,66.7,66.4,66.7,66.7,66.7
2020,1,65420,,,,,,225,65.7,70,65.5,67.5,62,58.2,62,58.2,63.4,63.1
2020,1,65426,16,PU,866000,866052,??,1,,,,,,,,,56,0
2020,1,65426,16,PU,866000,866052,,1,,,,,,,,,56,0
2020,1,65426,16,PU,866000,,,2,,,,,,,,,54.5,0
2020,1,65426,16,PU,,,,32,,,,,,,,,60.7,40.6
2020,1,65426,16,PR,,,,5,,,,,,,,,75.6,80
2020,1,65426,16,,,,,37,,,,,,,,,62.7,45.9
2020,1,65426,,PU,,,,170,,,,,,,,,64.8,60.1
2020,1,65426,,PR,,,,68,,,,,,,,,70.7,69.1
2020,1,65426,,,,,,238,,,,,,,,,66.5,62.6
2020,1,132506,16,PU,866000,866052,??,15,,,,,,,,,63.4,66.7
2020,1,132506,16,PU,866000,866052,,15,,,,,,,,,63.4,66.7
2020,1,132506,16,PU,866000,,,18,,,,,,,,,64.4,72.2
2020,1,132506,16,PU,,,,193,,,,,,,,,64.2,68
2020,1,132506,16,PR,,,,10,,,,,,,,,65.5,90
2020,1,132506,16,,,,,203,,,,,,,,,64.3,69.1
2020,1,132506,,PU,,,,2151,,,,,,,,,65.2,71.5
2020,1,132506,,PR,,,,81,,,,,,,,,69.1,78
2020,1,132506,,GO,,,,1,,,,,,,,,68,100
2020,1,132506,,,,,,2233,,,,,,,,,65.4,71.8
2020,1,132510,16,PU,866000,866052,20,10,59.3,60,,,,,,,59.3,60
2020,1,132510,16,PU,866000,866052,,10,59.3,60,,,,,,,59.3,60
2020,1,132510,16,PU,866000,,,12,62.6,66.7,,,,,,,62.6,66.7
2020,1,132510,16,PU,,,,137,66,78.1,,,,,,,66,78.1
2020,1,132510,16,PR,,,,5,62,60,,,,,,,62,60
2020,1,132510,16,,,,,142,65.9,77.5,,,,,,,65.9,77.5
2020,1,132510,,PU,,,,1947,64.5,71.5,,,,,,,64.5,71.5
2020,1,132510,,PR,,,,43,76.1,95.3,,,,,,,76.1,95.3
2020,1,132510,,,,,,1990,64.7,72.1,,,,,,,64.7,72.1
2020,1,132520,16,PU,866000,866052,20,12,65.4,72.7,57.7,54.5,57.7,41.7,57.7,41.7,59.6,58.3
2020,1,132520,16,PU,866000,866052,,12,65.4,72.7,57.7,54.5,57.7,41.7,57.7,41.7,59.6,58.3
2020,1,132520,16,PU,866000,,,14,63.6,66.7,57.7,54.5,60.1,50,60.1,50,61.7,64.3
2020,1,132520,16,PU,,,,195,65.8,78.4,59.9,56.9,58.2,48.2,58.2,48.2,60.1,54.4
2020,1,132520,16,PR,,,,12,,,,,66.4,75,66.4,75,66.4,75
2020,1,132520,16,,,,,207,65.8,78.4,59.9,56.9,58.6,49.8,58.6,49.8,60.5,55.6
2020,1,132520,,PU,,,,2178,59.7,52.4,61,57.5,59.7,54.8,59.7,54.8,61.9,60.7
2020,1,132520,,PR,,,,80,72.3,92.3,66.1,65.8,64,68.8,64,68.8,64.9,70
2020,1,132520,,GO,,,,1,,,,,74,100,74,100,74,100
2020,1,132520,,,,,,2259,60,53.3,61.1,57.7,59.8,55.3,59.8,55.3,62,61
2020,1,132530,16,PU,866000,866052,20,3,73,100,,,,,,,73,100
2020,1,132530,16,PU,866000,866052,,3,73,100,,,,,,,73,100
2020,1,132530,16,PU,866000,,,3,73,100,,,,,,,73,100
2020,1,132530,16,PU,,,,124,73.1,91.1,,,,,,,73.1,91.1
2020,1,132530,16,PR,,,,5,80.8,100,,,,,,,80.8,100
2020,1,132530,16,,,,,129,73.4,91.5,,,,,,,73.4,91.5
2020,1,132530,,PU,,,,1816,72.9,90.4,,,,,,,72.9,90.4
2020,1,132530,,PR,,,,38,83.7,100,,,,,,,83.7,100
2020,1,132530,,,,,,1854,73.1,90.6,,,,,,,73.1,90.6
2020,1,134504,16,PU,866000,866052,??,5,,,,,,,,,71,80
2020,1,134504,16,PU,866000,866052,,5,,,,,,,,,71,80
2020,1,134504,16,PU,866000,,,8,,,,,,,,,72.5,87.5
2020,1,134504,16,PU,,,,82,,,,,,,,,82.4,93.9
2020,1,134504,16,PR,,,,7,,,,,,,,,77.1,100
2020,1,134504,16,,,,,89,,,,,,,,,82,94.4
2020,1,134504,,PU,,,,963,,,,,,,,,76.2,88.3
2020,1,134504,,PR,,,,80,,,,,,,,,76.7,93.9
2020,1,134504,,,,,,1043,,,,,,,,,76.3,88.7
2020,1,134510,16,PU,866000,866052,20,4,62.5,50,76.5,100,76.3,100,76.3,100,78,100
2020,1,134510,16,PU,866000,866052,96,1,81,100,,,65,100,65,100,65,100
2020,1,134510,16,PU,866000,866052,,5,68.7,66.7,76.5,100,74,100,74,100,75.4,100
2020,1,134510,16,PU,866000,,,8,72.7,83.3,78.6,100,76.3,100,76.3,100,77.9,100
2020,1,134510,16,PU,,,,81,82.2,97.4,84.4,98.5,84.1,98.8,84.1,98.8,85.1,98.8
2020,1,134510,16,PR,,,,7,75.9,100,76.4,85.7,76.4,100,76.4,100,76.9,100
2020,1,134510,16,,,,,88,81.6,97.6,83.6,97.3,83.5,98.9,83.5,98.9,84.4,98.9
2020,1,134510,,PU,,,,999,76.4,92.2,78.2,90.5,78.4,95.2,78.4,95.2,80,95.6
2020,1,134510,,PR,,,,86,76.8,93.3,75,75,78.3,90.7,78.3,90.7,78.4,90.7
2020,1,134510,,,,,,1085,76.4,92.2,78.1,90.3,78.4,94.8,78.4,94.8,79.9,95.2
2020,1,134520,16,PU,866000,866052,20,2,80,100,,,,,,,80,100
2020,1,134520,16,PU,866000,866052,96,1,69,100,,,,,,,69,100
2020,1,134520,16,PU,866000,866052,,3,76.3,100,,,,,,,76.3,100
2020,1,134520,16,PU,866000,,,6,73.7,83.3,,,,,,,73.7,83.3
